Momentum Bin (GeV/c),Intersection Point,Kaon-to-Pion Ratio (%)
1-1.3,0.955807,0
1.3-1.6,0.971015,0.00999753
1.6-1.9,0.979634,0.0611711
1.9-2.2,0.984947,0.0701307
2.2-2.5,0.988438,0.159335
2.5-2.8,0.99085,0.264269
2.8-3.1,0.992583,0.36334
3.1-3.4,0.993868,1.19483
3.4-3.7,0.994848,1.77175
3.7-4,0.995611,7.08274
