event_number,true_pid,charge,recomputed_chi2pid,sector,layer,component,sigma,dt,is_matched
9526,2212,1,24.2336,3,2,12,0.069,1.67212,1
9532,-999,1,99999,-1,-1,-1,-1,99999,0
9537,-999,1,-1.39204,4,2,43,0.094,-0.130852,0
9538,2212,1,16.7465,6,2,49,0.099,1.65791,1
9543,211,1,5.6969,5,2,35,0.088,0.501328,1
9545,211,1,1.60771,5,2,3,0.062,0.099678,1
9547,211,1,-22.5989,4,2,31,0.085,-1.92091,1
9555,2212,1,79.4276,1,2,20,0.076,6.0365,1
9556,-999,1,19.7958,6,2,54,0.103,2.03897,0
9557,-999,1,2.17824,3,2,32,0.085,0.18515,0
9558,211,1,3.6072,1,2,20,0.076,0.274147,1
9559,211,1,99999,-1,-1,-1,-1,99999,1
9567,321,1,27.1686,2,2,21,0.076,2.06481,1
9579,-999,1,2.19551,2,2,34,0.087,0.19101,0
9584,211,1,0.536733,1,2,22,0.077,0.0413284,1
9585,-999,1,0.934316,5,2,9,0.067,0.0625992,0
9588,211,1,-0.908289,1,2,23,0.078,-0.0708466,1
9592,2212,1,14.8964,2,2,33,0.086,1.28109,1
9602,211,1,0.906355,6,2,36,0.089,0.0806656,1
9603,-999,1,-0.500546,3,2,24,0.079,-0.0395432,0
9606,211,1,99999,-1,-1,-1,-1,99999,1
9608,2212,1,42.2588,5,2,32,0.085,3.592,1
9615,2212,1,30.6978,1,2,44,0.095,2.91629,1
9616,-999,1,99999,-1,-1,-1,-1,99999,0
9617,-999,1,0.0364325,3,2,36,0.089,0.00324249,0
9621,2212,1,27.1214,2,2,26,0.08,2.16971,1
9622,-999,1,0.837707,2,2,37,0.09,0.0753937,0
9629,211,1,-0.944955,6,2,22,0.077,-0.0727615,1
9631,211,1,2.09698,2,2,37,0.09,0.188728,1
9633,2212,1,99999,-1,-1,-1,-1,99999,1
9644,2212,1,27.5596,2,2,34,0.087,2.39768,1
9646,2212,1,31.2773,6,2,16,0.072,2.25197,1
9647,2212,1,124.738,5,2,20,0.076,9.48012,1
9649,211,1,0.0989474,2,2,7,0.065,0.00643158,1
9654,321,1,21.7314,3,2,46,0.097,2.10795,1
9655,211,1,-0.552755,5,2,14,0.071,-0.0392456,1
9656,211,1,99999,-1,-1,-1,-1,99999,1
9663,211,1,-1.78019,1,2,23,0.078,-0.138855,1
9665,211,1,-1.1402,5,2,10,0.067,-0.0763931,1
9678,211,1,1.50127,6,2,26,0.08,0.120102,1
9679,211,1,-3.7892,3,2,20,0.076,-0.287979,1
9684,2212,1,17.0552,2,2,13,0.07,1.19386,1
9685,211,1,0.709633,1,2,22,0.077,0.0546417,1
9688,211,1,99999,-1,-1,-1,-1,99999,1
9698,211,1,3.31317,1,2,16,0.072,0.238548,1
9701,211,1,8.79712,1,2,16,0.072,0.633392,1
9701,-999,1,220.392,4,2,31,0.085,18.7333,0
9702,-999,1,2.32265,6,2,29,0.083,0.19278,0
9706,2212,1,72.9559,3,2,21,0.076,5.54465,1
9715,2212,1,99999,-1,-1,-1,-1,99999,1
9715,321,1,8.66993,6,2,29,0.083,0.719604,1
9717,2212,1,15.7178,6,2,17,0.073,1.1474,1
9720,-999,1,99999,-1,-1,-1,-1,99999,0
9726,2212,1,24.1168,5,2,52,0.102,2.45992,1
9731,211,1,99999,-1,-1,-1,-1,99999,1
9731,-999,1,242.028,2,2,14,0.071,17.184,0
9737,211,1,0.533304,1,2,27,0.081,0.0431976,1
9746,2212,1,99999,-1,-1,-1,-1,99999,1
9747,211,1,99999,-1,-1,-1,-1,99999,1
9750,2212,1,31.2143,1,2,18,0.074,2.30986,1
9751,211,1,10.8006,6,2,9,0.067,0.72364,1
9757,2212,1,79.8805,3,2,11,0.068,5.43188,1
9761,-999,1,-6.75622,4,2,23,0.078,-0.526985,0
9762,-999,1,202.565,6,2,31,0.085,17.2181,0
9763,2212,1,15.1711,5,2,47,0.098,1.48676,1
9775,2212,1,71.8598,5,2,15,0.071,5.10204,1
9780,2212,1,67.1597,2,2,12,0.069,4.63402,1
9787,-999,1,1.49536,1,2,30,0.084,0.12561,0
9788,2212,1,49.7851,5,2,37,0.09,4.48066,1
9798,2212,1,79.2795,4,2,5,0.063,4.99461,1
9810,2212,1,47.3056,1,2,18,0.074,3.50062,1
9812,321,1,6.4514,1,2,28,0.082,0.529015,1
