event_number,true_pid,charge,recomputed_chi2pid,sector,layer,component,sigma,dt,is_matched
303,211,1,0.57057,5,2,47,0.098,0.0559158,1
304,2212,1,99999,-1,-1,-1,-1,99999,1
307,211,1,0.837745,3,2,28,0.082,0.0686951,1
307,211,1,-0.124032,1,2,56,0.105,-0.0130234,1
316,-999,1,368.121,2,2,5,0.063,23.1916,0
322,2212,1,64.4951,4,2,1,0.06,3.86971,1
324,211,1,-1.39641,5,2,50,0.1,-0.139641,1
324,2212,1,79.475,1,2,18,0.074,5.88115,1
327,2212,1,151.027,4,2,36,0.089,13.4414,1
336,2212,1,16.4446,2,2,10,0.067,1.10179,1
346,211,1,-0.762939,6,2,48,0.099,-0.075531,1
346,211,1,99999,-1,-1,-1,-1,99999,1
347,2212,1,20.0087,5,2,22,0.077,1.54067,1
350,2212,1,22.9644,6,2,17,0.073,1.6764,1
351,211,1,0.870454,1,2,20,0.076,0.0661545,1
351,2212,1,132.011,1,2,12,0.069,9.10877,1
352,321,1,3.8261,4,2,46,0.097,0.371132,1
359,2212,1,124.162,4,2,13,0.07,8.69132,1
360,-999,1,62.8712,5,2,43,0.094,5.90989,0
360,211,1,3.28759,2,2,9,0.067,0.220268,1
361,2212,1,84.5954,1,2,29,0.083,7.02142,1
363,211,1,0.00117375,5,2,39,0.091,0.000106812,1
363,-999,1,99999,-1,-1,-1,-1,99999,0
364,2212,1,129.824,3,2,17,0.073,9.47719,1
365,-999,1,67.9201,2,2,54,0.103,6.99577,0
366,211,1,0.89827,3,2,30,0.084,0.0754547,1
366,-999,1,147.375,5,2,19,0.075,11.0531,0
366,-999,1,147.716,4,2,32,0.085,12.5559,0
366,-999,1,482.077,5,2,34,0.087,41.9407,0
367,211,1,-0.307227,5,2,41,0.093,-0.0285721,1
368,2212,1,117.967,3,2,39,0.091,10.735,1
372,2212,1,164.433,3,2,7,0.065,10.6881,1
373,-999,1,114.914,2,2,11,0.068,7.81413,0
374,211,1,2.28466,5,2,49,0.099,0.226181,1
379,2212,1,120.395,6,2,11,0.068,8.18688,1
379,-999,1,1.9757,6,2,17,0.073,0.144226,0
379,-999,1,40.9982,6,2,26,0.08,3.27985,0
380,211,1,-3.86985,5,2,13,0.07,-0.270889,1
384,211,1,0.802217,6,2,27,0.081,0.0649796,1
387,-999,1,198.887,2,2,19,0.075,14.9165,0
388,211,1,-1.66329,1,2,45,0.096,-0.159676,1
389,-999,1,99999,-1,-1,-1,-1,99999,0
393,211,1,-0.105998,5,2,19,0.075,-0.00794983,1
393,2212,1,99999,-1,-1,-1,-1,99999,1
394,2212,1,54.0122,3,2,19,0.075,4.05092,1
398,-999,1,40.3835,1,2,42,0.094,3.79605,0
403,211,1,0.267922,1,2,43,0.094,0.0251846,1
407,2212,1,43.8449,6,2,37,0.09,3.94604,1
408,211,1,0.977993,6,2,6,0.064,0.0625916,1
410,2212,1,60.9949,2,2,21,0.076,4.63561,1
411,211,1,-0.702752,5,2,37,0.09,-0.0632477,1
411,2212,1,38.3436,2,2,32,0.085,3.25921,1
412,-999,1,237.46,5,2,37,0.09,21.3714,0
414,211,1,1.75103,4,2,33,0.086,0.150589,1
422,2212,1,59.4838,5,2,27,0.081,4.81818,1
425,211,1,-2.9921,5,2,2,0.061,-0.182518,1
425,-999,1,121.306,3,2,36,0.089,10.7962,0
432,2212,1,13.9128,5,2,39,0.091,1.26607,1
438,2212,1,35.8949,1,2,35,0.088,3.15875,1
444,321,1,6.76033,2,2,9,0.067,0.452942,1
445,211,1,0.19396,4,2,46,0.097,0.0188141,1
445,-999,1,66.751,5,2,46,0.097,6.47485,0
450,2212,1,17.4154,5,2,27,0.081,1.41064,1
450,211,1,-0.150787,6,2,16,0.072,-0.0108566,1
453,2212,1,21.9106,1,2,43,0.094,2.05959,1
455,211,1,-0.192115,6,2,56,0.105,-0.0201721,1
456,211,1,-1.43433,5,2,50,0.1,-0.143433,1
457,-999,1,8.82249,2,2,5,0.063,0.555817,0
457,2212,1,39.666,1,2,33,0.086,3.41128,1
458,211,1,0.762218,6,2,18,0.074,0.0564041,1
458,-999,1,80.2656,5,2,52,0.102,8.1871,0
464,211,1,1.2186,5,2,20,0.076,0.0926132,1
473,-999,1,43.8257,1,2,46,0.097,4.25109,0
474,211,1,-0.390475,4,2,2,0.061,-0.023819,1
474,-999,1,215.381,5,2,9,0.067,14.4305,0
475,2212,1,99999,-1,-1,-1,-1,99999,1
476,-999,1,54.4015,6,2,15,0.071,3.8625,0
481,211,1,5.32173,1,2,31,0.085,0.452347,1
482,211,1,28.5111,1,2,22,0.077,2.19536,1
485,211,1,-0.374401,3,2,11,0.068,-0.0254593,1
487,321,1,99999,-1,-1,-1,-1,99999,1
488,211,1,99999,-1,-1,-1,-1,99999,1
490,2212,1,35.5462,1,2,31,0.085,3.02143,1
492,-999,1,99999,-1,-1,-1,-1,99999,0
495,2212,1,99999,-1,-1,-1,-1,99999,1
495,211,1,99999,-1,-1,-1,-1,99999,1
498,211,1,-0.722018,5,2,22,0.077,-0.0555954,1
499,211,1,-0.7072,2,2,31,0.085,-0.060112,1
500,211,1,1.14594,2,2,19,0.075,0.0859451,1
500,-999,1,-0.744864,2,2,7,0.065,-0.0484161,0
501,2212,1,22.5216,4,2,41,0.093,2.09451,1
507,211,1,0.220445,5,2,31,0.085,0.0187378,1
507,-999,1,99999,-1,-1,-1,-1,99999,0
510,2212,1,90.1479,5,2,26,0.08,7.21183,1
511,211,1,-0.233514,5,2,30,0.084,-0.0196152,1
511,2212,1,47.3785,2,2,19,0.075,3.55339,1
517,211,1,-0.832136,3,2,33,0.086,-0.0715637,1
518,211,1,1.29688,1,2,10,0.067,0.0868912,1
519,-999,1,122.937,1,2,22,0.077,9.46615,0
521,321,1,3.10859,5,2,36,0.089,0.276665,1
523,211,1,-0.580264,4,2,14,0.071,-0.0411987,1
524,-999,1,-0.000308258,5,2,49,0.099,-3.05176e-05,0
528,211,1,229.029,5,2,31,0.085,19.4674,1
532,2212,1,70.1949,6,2,38,0.09,6.31754,1
534,2212,1,21.9106,4,2,57,0.106,2.32253,1
536,-999,1,-0.70439,2,2,36,0.089,-0.0626907,0
536,211,1,0.119451,3,2,10,0.067,0.00800323,1
546,211,1,99999,-1,-1,-1,-1,99999,1
549,211,1,0.221426,5,2,35,0.088,0.0194855,1
551,2212,1,28.6016,6,2,26,0.08,2.28813,1
554,2212,1,58.8625,6,2,26,0.08,4.709,1
557,2212,1,45.7738,3,2,24,0.079,3.61613,1
558,2212,1,12.9365,5,2,46,0.097,1.25484,1
560,2212,1,37.4622,5,2,39,0.091,3.40906,1
562,211,1,-2.2357,6,2,27,0.081,-0.181091,1
562,211,1,-0.00904628,6,2,13,0.07,-0.00063324,1
564,-999,1,3.49775,4,2,27,0.081,0.283318,0
568,211,1,-0.950055,1,2,23,0.078,-0.0741043,1
572,211,1,0.747999,5,2,16,0.072,0.0538559,1
573,-999,1,-1.20201,1,2,26,0.08,-0.0961609,0
573,211,1,99999,-1,-1,-1,-1,99999,1
575,2212,1,31.6149,4,2,56,0.105,3.31956,1
580,-999,1,84.9248,1,2,50,0.1,8.49248,0
584,2212,1,53.067,2,2,14,0.071,3.76775,1
585,-999,1,111.545,6,2,8,0.066,7.36199,0
588,211,1,-0.371332,2,2,17,0.073,-0.0271072,1
589,-999,1,-0.806214,3,2,2,0.061,-0.0491791,0
596,211,1,0.016181,6,2,39,0.091,0.00147247,1
597,2212,1,31.4797,3,1,6,0.123,3.872,1
600,2212,1,27.2877,6,2,43,0.094,2.56505,1
600,211,1,0.688501,2,2,18,0.074,0.0509491,1
603,2212,1,13.4736,3,2,41,0.093,1.25304,1
604,211,1,99999,-1,-1,-1,-1,99999,1
606,-999,1,50.7878,1,2,44,0.095,4.82484,0
610,2212,1,25.7677,5,2,24,0.079,2.03564,1
612,2212,1,19.9171,5,2,47,0.098,1.95187,1
614,211,1,-0.820993,3,2,34,0.087,-0.0714264,1
615,2212,1,99999,-1,-1,-1,-1,99999,1
616,2212,1,17.9491,5,2,15,0.071,1.27438,1
617,211,1,0.967979,6,2,45,0.096,0.092926,1
618,-999,1,99999,-1,-1,-1,-1,99999,0
618,2212,1,58.3671,1,2,39,0.091,5.3114,1
618,321,1,21.1279,5,2,21,0.076,1.60572,1
619,2212,1,18.0763,4,2,45,0.096,1.73532,1
619,211,1,0.397004,6,2,29,0.083,0.0329514,1
620,2212,1,37.2277,6,2,18,0.074,2.75485,1
620,211,1,0.805202,5,2,20,0.076,0.0611954,1
622,2212,1,44.8292,3,2,1,0.06,2.68975,1
622,211,1,-0.831963,3,2,31,0.085,-0.0707169,1
629,2212,1,99999,-1,-1,-1,-1,99999,1
631,211,1,-1.2807,5,2,8,0.066,-0.0845261,1
632,-999,1,121.333,4,2,33,0.086,10.4346,0
638,2212,1,45.5433,5,2,25,0.08,3.64346,1
639,2212,1,99999,-1,-1,-1,-1,99999,1
640,211,1,1.95739,5,2,22,0.077,0.150719,1
647,211,1,-1.23412,2,2,3,0.062,-0.0765152,1
649,211,1,-0.611397,4,2,17,0.073,-0.044632,1
651,2212,1,194.827,4,2,14,0.071,13.8327,1
654,211,1,-1.2455,4,2,16,0.072,-0.0896759,1
655,211,1,0.351954,4,2,48,0.099,0.0348434,1
655,2212,1,82.3809,2,2,31,0.085,7.00237,1
658,211,1,-2.02899,4,2,35,0.088,-0.178551,1
661,211,1,0.744062,2,2,23,0.078,0.0580368,1
667,2212,1,49.2021,4,2,28,0.082,4.03458,1
668,321,1,10.9231,3,2,8,0.066,0.720924,1
668,211,1,1.70489,4,2,10,0.067,0.114227,1
673,2212,1,18.976,5,2,51,0.101,1.91658,1
673,-999,1,99999,-1,-1,-1,-1,99999,0
676,2212,1,28.1697,4,2,14,0.071,2.00005,1
679,2212,1,16.4347,5,2,32,0.085,1.39695,1
680,211,1,-1.35187,3,2,17,0.073,-0.0986862,1
680,211,1,-0.43726,4,2,26,0.08,-0.0349808,1
681,2212,1,99999,-1,-1,-1,-1,99999,1
