Momentum Bin (GeV/c),Kaon Left,Contamination (%)
1-1.3,0.978923,0
1.3-1.6,0.982284,0
1.6-1.9,0.983911,0.159363
1.9-2.2,0.988451,1.52579
2.2-2.5,0.989337,1.05948
2.5-2.8,0.990322,0.59877
2.8-3.1,0.992657,12.2582
3.1-3.4,0.992337,11.4084
3.4-3.7,0.993334,2.19802
3.7-4,1.00373,5.9139
4-4.3,0.998428,3.38118
4.3-4.6,N/A,N/A
4.6-4.9,N/A,N/A
4.9-5.2,N/A,N/A
5.2-5.5,N/A,N/A
5.5-5.8,N/A,N/A
5.8-6.1,N/A,N/A
6.1-6.4,N/A,N/A
6.4-6.7,N/A,N/A
6.7-7,N/A,N/A
