Momentum Bin (GeV/c),c,Contamination (%)
1-1.3,N/A,N/A
1.3-1.6,N/A,N/A
1.6-1.9,0.983791,0.00784745
1.9-2.2,0.986266,0.040738
2.2-2.5,0.989044,0.333707
2.5-2.8,0.990906,0.625895
2.8-3.1,0.993191,1.68975
3.1-3.4,0.994116,3.44683
3.4-3.7,0.995197,9.00087
3.7-4,0.995779,12.8194

4-4.3,0.996658,35.1359
4.3-4.6,0.997181,59.5833


4.6-4.9,0.997364,32.0102
4.9-5.2,N/A,N/A
5.2-5.5,N/A,N/A
5.5-5.8,N/A,N/A
5.8-6.1,N/A,N/A
6.1-6.4,N/A,N/A
6.4-6.7,N/A,N/A
6.7-7,N/A,N/A
