Momentum Bin (GeV/c),c,Contamination (%)
1-1.3,0.972788,0
1.3-1.6,0.980285,0
1.6-1.9,0.983484,0.00972855
1.9-2.2,0.986116,0.0538811
2.2-2.5,0.988783,0.319079
2.5-2.8,0.990933,0.750889
2.8-3.1,0.992612,1.75517
3.1-3.4,0.993568,3.66161
3.4-3.7,0.994829,7.68798
3.7-4,0.995507,16.2006
