Momentum Bin (GeV/c),c,Contamination (%)
1-1.3,0.975343,0
1.3-1.6,0.982338,0
1.6-1.9,0.984635,0.0340591
1.9-2.2,0.987182,0.191952
2.2-2.5,0.989898,0.956509
2.5-2.8,0.992,1.64227
2.8-3.1,0.993787,4.36633
3.1-3.4,0.995038,8.49271
3.4-3.7,0.996513,15.5573
3.7-4,0.997605,29.6696
