Momentum Bin (GeV/c),c,Contamination (%)
1-1.3,0.975581,0
1.3-1.6,0.982515,0
1.6-1.9,0.984585,0.0318572
1.9-2.2,0.986906,0.13294
2.2-2.5,0.990003,1.02618
2.5-2.8,0.99189,1.60077
2.8-3.1,0.993849,4.72942
3.1-3.4,0.995045,9.10367
3.4-3.7,0.996492,17.5434
3.7-4,0.997399,25.1802
