Momentum Bin (GeV/c),c,Contamination (%)
1-1.3,0,0
1.3-1.6,0.97546,0
1.6-1.9,0.982132,0.00188693
1.9-2.2,0.9856,0.0270755
2.2-2.5,0.988474,0.206344
2.5-2.8,0.990849,0.643407
2.8-3.1,0.992521,1.45515
3.1-3.4,0.993485,2.91033
3.4-3.7,0.99432,3.98894
3.7-4,0.994496,2.58102
