Momentum Bin (GeV/c),Intersection Point,Kaon-to-Pion Ratio (%)
1-1.3,0.978,0
1.3-1.6,0.980739,0.000397095
1.6-1.9,0.983417,0.0187533
1.9-2.2,0.985814,0.0234704
2.2-2.5,0.988313,0.18224
2.5-2.8,0.990151,0.481748
2.8-3.1,0.990955,0.632848
3.1-3.4,0.992156,1.37298
3.4-3.7,0.993397,4.09428
3.7-4,0.993411,12.4983
